Setting,n_img,AbsRel,RMSE,delta1,delta2,delta3,SF,MG
NYU100_FS3,1,0.656655,1.204578,0.346412,0.620115,0.811164,0.112094,0.030981
NYU100_FS5,1,0.689094,1.246112,0.333672,0.60584,0.799298,0.117777,0.034379
NYU100_FS7,1,0.505904,1.091075,0.384863,0.674428,0.847618,0.119203,0.033645
NYU100_FS3,2,0.292052,0.667339,0.770194,0.893874,0.950561,0.125645,0.035394
NYU100_FS5,2,0.329784,0.737045,0.71686,0.876345,0.943463,0.12896,0.03798
NYU100_FS7,2,0.327419,0.780798,0.690809,0.856122,0.935941,0.127573,0.037149
NYU100_FS3,3,0.269267,0.49543,0.869207,0.940392,0.959624,0.125224,0.125224
NYU100_FS5,3,0.283548,0.501611,0.858146,0.936618,0.957143,0.127359,0.036241
NYU100_FS7,3,0.309503,0.536501,0.849472,0.937904,0.95886,0.12545,0.035716
NYU100_FS3,4,0.285706,0.556823,0.771823,0.972551,0.986055,0.126244,0.035377
NYU100_FS5,4,0.258335,0.479276,0.842343,0.974339,0.986515,0.12828,0.035934
NYU100_FS7,4,0.270941,0.489618,0.88016,0.967576,0.979457,0.124947,0.03483
NYU100_FS3,5,0.272351,0.52217,0.809814,0.973371,0.986033,0.129721,0.036683
NYU100_FS5,5,0.238128,0.425946,0.880488,0.977201,0.986491,0.131163,0.036985
NYU100_FS7,5,0.255904,0.441755,0.906377,0.9695,0.978064,0.128401,0.03618
NYU100_FS3,6,0.270365,0.453780,0.885552,0.943093,0.958548,0.129512,0.036912
NYU100_FS5,6,0.257411,0.407532,0.906091,0.948452,0.960556,0.130782,0.037420
NYU100_FS7,6,0.289129,0.429212,0.908452,0.949952,0.961746,0.129033,0.036970
NYU100_FS3,7,0.26308,0.457885,0.865686,0.977809,0.985741,0.131665,0.131665
NYU100_FS5,7,0.214427,0.341751,0.945285,0.981168,0.987049,0.133025,0.037798
NYU100_FS7,7,0.256512,0.392049,0.923006,0.96437,0.973113,0.130775,0.037069
NYU100_FS3,8,0.26308,0.457885,0.865686,0.977809,0.985741,0.131665,0.037515
NYU100_FS5,8,0.214427,0.341751,0.945285,0.981168,0.987049,0.133025,0.037798
NYU100_FS7,8,0.256512,0.392049,0.923006,0.96437,0.973113,0.130775,0.037069
NYU100_FS3,9,0.265735,0.461835,0.855431,0.977641,0.985708,0.131757,0.03754
NYU100_FS5,9,0.212165,0.334454,0.94735,0.981104,0.986966,0.13343,0.037997
NYU100_FS7,9,0.256593,0.38995,0.9279,0.963358,0.971757,0.130935,0.037236
NYU100_FS3,10,0.260177,0.45242,0.874556,0.978228,0.985773,0.134647,0.038552
NYU100_FS5,10,0.233795,0.349595,0.935412,0.981632,0.987186,0.135901,0.038867
NYU100_FS7,10,0.222783,0.35464,0.935412,0.971823,0.976184,0.133439,0.0379